Year,Award,Winner,Name,Film,POC
1934,Actor,1,Clark Gable,It Happened One Night,0
1934,Actor,,Frank Morgan,The Affairs of Cellini,0
1934,Actor,,William Powell,The Thin Man,0
1934,Actress,1,Claudette Colbert,It Happened One Night,0
1934,Actress,,Bette Davis,Of Human Bondage,0
1934,Actress,,Grace Moore,One Night of Love,0
1934,Actress,,Norma Shearer,The Barretts of Wimpole Street,0
1935,Actor,,Clark Gable,Mutiny on the Bounty,0
1935,Actor,,Charles Laughton,Mutiny on the Bounty,0
1935,Actor,1,Victor McLaglen,The Informer,0
1935,Actor,,Paul Muni,Black Fury,0
1935,Actor,,Franchot Tone,Mutiny on the Bounty,0
1935,Actress,,Elisabeth Bergner,Escape Me Never,0
1935,Actress,,Claudette Colbert,Private Worlds,0
1935,Actress,1,Bette Davis,Dangerous,0
1935,Actress,,Katharine Hepburn,Alice Adams,0
1935,Actress,,Miriam Hopkins,Becky Sharp,0
1935,Actress,,Merle Oberon,The Dark Angel,1
1936,Actor,,Gary Cooper,Mr. Deeds Goes to Town,0
1936,Actor,,Walter Huston,Dodsworth,0
1936,Actor,1,Paul Muni,The Story of Louis Pasteur,0
1936,Actor,,William Powell,My Man Godfrey,0
1936,Actor,,Spencer Tracy,San Francisco,0
1936,Actor in a Supporting Role,,Mischa Auer,My Man Godfrey,0
1936,Actor in a Supporting Role,1,Walter Brennan,Come and Get It,0
1936,Actor in a Supporting Role,,Stuart Erwin,Pigskin Parade,0
1936,Actor in a Supporting Role,,Basil Rathbone,Romeo and Juliet,0
1936,Actor in a Supporting Role,,Akim Tamiroff,The General Died at Dawn,0
1936,Actress,,Irene Dunne,Theodora Goes Wild,0
1936,Actress,,Gladys George,Valiant Is the Word for Carrie,0
1936,Actress,,Carole Lombard,My Man Godfrey,0
1936,Actress,1,Luise Rainer,The Great Ziegfeld,0
1936,Actress,,Norma Shearer,Romeo and Juliet,0
1936,Actress in a Supporting Role,,Beulah Bondi,The Gorgeous Hussy,0
1936,Actress in a Supporting Role,,Alice Brady,My Man Godfrey,0
1936,Actress in a Supporting Role,,Bonita Granville,These Three,0
1936,Actress in a Supporting Role,,Maria Ouspenskaya,Dodsworth,0
1936,Actress in a Supporting Role,1,Gale Sondergaard,Anthony Adverse,0
1937,Actor,,Charles Boyer,Conquest,0
1937,Actor,,Fredric March,A Star Is Born,0
1937,Actor,,Robert Montgomery,Night Must Fall,0
1937,Actor,,Paul Muni,The Life of Emile Zola,0
1937,Actor,1,Spencer Tracy,Captains Courageous,0
1937,Actor in a Supporting Role,,Ralph Bellamy,The Awful Truth,0
1937,Actor in a Supporting Role,,Thomas Mitchell,The Hurricane,0
1937,Actor in a Supporting Role,1,Joseph Schildkraut,The Life of Emile Zola,0
1937,Actor in a Supporting Role,,H. B. Warner,Lost Horizon,0
1937,Actor in a Supporting Role,,Roland Young,Topper,0
1937,Actress,,Irene Dunne,The Awful Truth,0
1937,Actress,,Greta Garbo,Camille,0
1937,Actress,,Janet Gaynor,A Star Is Born,0
1937,Actress,1,Luise Rainer,The Good Earth,0
1937,Actress,,Barbara Stanwyck,Stella Dallas,0
1937,Actress in a Supporting Role,1,Alice Brady,In Old Chicago,0
1937,Actress in a Supporting Role,,Andrea Leeds,Stage Door,0
1937,Actress in a Supporting Role,,Anne Shirley,Stella Dallas,0
1937,Actress in a Supporting Role,,Claire Trevor,Dead End,0
1937,Actress in a Supporting Role,,Dame May Whitty,Night Must Fall,0
1938,Actor,,Charles Boyer,Algiers,0
1938,Actor,,James Cagney,Angels with Dirty Faces,0
1938,Actor,,Robert Donat,The Citadel,0
1938,Actor,,Leslie Howard,Pygmalion,0
1938,Actor,1,Spencer Tracy,Boys Town,0
1938,Actor in a Supporting Role,1,Walter Brennan,Kentucky,0
1938,Actor in a Supporting Role,,John Garfield,Four Daughters,0
1938,Actor in a Supporting Role,,Gene Lockhart,Algiers,0
1938,Actor in a Supporting Role,,Robert Morley,Marie Antoinette,0
1938,Actor in a Supporting Role,,Basil Rathbone,If I Were King,0
1938,Actress,,Fay Bainter,White Banners,0
1938,Actress,1,Bette Davis,Jezebel,0
1938,Actress,,Wendy Hiller,Pygmalion,0
1938,Actress,,Norma Shearer,Marie Antoinette,0
1938,Actress,,Margaret Sullavan,Three Comrades,0
1938,Actress in a Supporting Role,1,Fay Bainter,Jezebel,0
1938,Actress in a Supporting Role,,Beulah Bondi,Of Human Hearts,0
1938,Actress in a Supporting Role,,Billie Burke,Merrily We Live,0
1938,Actress in a Supporting Role,,Spring Byington,You Can't Take It with You,0
1938,Actress in a Supporting Role,,Miliza Korjus,The Great Waltz,0
1939,Actor,1,Robert Donat,"Goodbye, Mr. Chips",0
1939,Actor,,Clark Gable,Gone with the Wind,0
1939,Actor,,Laurence Olivier,Wuthering Heights,0
1939,Actor,,Mickey Rooney,Babes in Arms,0
1939,Actor,,James Stewart,Mr. Smith Goes to Washington,0
1939,Actor in a Supporting Role,,Brian Aherne,Juarez,0
1939,Actor in a Supporting Role,,Harry Carey,Mr. Smith Goes to Washington,0
1939,Actor in a Supporting Role,,Brian Donlevy,Beau Geste,0
1939,Actor in a Supporting Role,1,Thomas Mitchell,Stagecoach,0
1939,Actor in a Supporting Role,,Claude Rains,Mr. Smith Goes to Washington,0
1939,Actress,,Bette Davis,Dark Victory,0
1939,Actress,,Irene Dunne,Love Affair,0
1939,Actress,,Greta Garbo,Ninotchka,0
1939,Actress,,Greer Garson,"Goodbye, Mr. Chips",0
1939,Actress,1,Vivien Leigh,Gone with the Wind,0
1939,Actress in a Supporting Role,,Olivia de Havilland,Gone with the Wind,0
1939,Actress in a Supporting Role,,Geraldine Fitzgerald,Wuthering Heights,0
1939,Actress in a Supporting Role,1,Hattie McDaniel,Gone with the Wind,1
1939,Actress in a Supporting Role,,Edna May Oliver,Drums along the Mohawk,0
1939,Actress in a Supporting Role,,Maria Ouspenskaya,Love Affair,0
1940,Actor,,Charles Chaplin,The Great Dictator,0
1940,Actor,,Henry Fonda,The Grapes of Wrath,0
1940,Actor,,Raymond Massey,Abe Lincoln in Illinois,0
1940,Actor,,Laurence Olivier,Rebecca,0
1940,Actor,1,James Stewart,The Philadelphia Story,0
1940,Actor in a Supporting Role,,Albert Basserman,Foreign Correspondent,0
1940,Actor in a Supporting Role,1,Walter Brennan,The Westerner,0
1940,Actor in a Supporting Role,,William Gargan,They Knew What They Wanted,0
1940,Actor in a Supporting Role,,Jack Oakie,The Great Dictator,0
1940,Actor in a Supporting Role,,James Stephenson,The Letter,0
1940,Actress,,Bette Davis,The Letter,0
1940,Actress,,Joan Fontaine,Rebecca,0
1940,Actress,,Katharine Hepburn,The Philadelphia Story,0
1940,Actress,1,Ginger Rogers,Kitty Foyle,0
1940,Actress,,Martha Scott,Our Town,0
1940,Actress in a Supporting Role,,Judith Anderson,Rebecca,0
1940,Actress in a Supporting Role,1,Jane Darwell,The Grapes of Wrath,0
1940,Actress in a Supporting Role,,Ruth Hussey,The Philadelphia Story,0
1940,Actress in a Supporting Role,,Barbara O'Neil,"All This, and Heaven Too",0
1940,Actress in a Supporting Role,,Marjorie Rambeau,Primrose Path,0
1941,Actor,1,Gary Cooper,Sergeant York,0
1941,Actor,,Cary Grant,Penny Serenade,0
1941,Actor,,Walter Huston,All That Money Can Buy,0
1941,Actor,,Robert Montgomery,Here Comes Mr. Jordan,0
1941,Actor,,Orson Welles,Citizen Kane,0
1941,Actor in a Supporting Role,,Walter Brennan,Sergeant York,0
1941,Actor in a Supporting Role,,Charles Coburn,The Devil and Miss Jones,0
1941,Actor in a Supporting Role,1,Donald Crisp,How Green Was My Valley,0
1941,Actor in a Supporting Role,,James Gleason,Here Comes Mr. Jordan,0
1941,Actor in a Supporting Role,,Sydney Greenstreet,The Maltese Falcon,0
1941,Actress,,Bette Davis,The Little Foxes,0
1941,Actress,,Olivia de Havilland,Hold Back the Dawn,0
1941,Actress,1,Joan Fontaine,Suspicion,0
1941,Actress,,Greer Garson,Blossoms in the Dust,0
1941,Actress,,Barbara Stanwyck,Ball of Fire,0
1941,Actress in a Supporting Role,,Sara Allgood,How Green Was My Valley,0
1941,Actress in a Supporting Role,1,Mary Astor,The Great Lie,0
1941,Actress in a Supporting Role,,Patricia Collinge,The Little Foxes,0
1941,Actress in a Supporting Role,,Teresa Wright,The Little Foxes,0
1941,Actress in a Supporting Role,,Margaret Wycherly,Sergeant York,0
1942,Actor,1,James Cagney,Yankee Doodle Dandy,0
1942,Actor,,Ronald Colman,Random Harvest,0
1942,Actor,,Gary Cooper,The Pride of the Yankees,0
1942,Actor,,Walter Pidgeon,Mrs. Miniver,0
1942,Actor,,Monty Woolley,The Pied Piper,0
1942,Actor in a Supporting Role,,William Bendix,Wake Island,0
1942,Actor in a Supporting Role,1,Van Heflin,Johnny Eager,0
1942,Actor in a Supporting Role,,Walter Huston,Yankee Doodle Dandy,0
1942,Actor in a Supporting Role,,Frank Morgan,Tortilla Flat,0
1942,Actor in a Supporting Role,,Henry Travers,Mrs. Miniver,0
1942,Actress,,Bette Davis,"Now, Voyager",0
1942,Actress,1,Greer Garson,Mrs. Miniver,0
1942,Actress,,Katharine Hepburn,Woman of the Year,0
1942,Actress,,Rosalind Russell,My Sister Eileen,0
1942,Actress,,Teresa Wright,The Pride of the Yankees,0
1942,Actress in a Supporting Role,,Gladys Cooper,"Now, Voyager",0
1942,Actress in a Supporting Role,,Agnes Moorehead,The Magnificent Ambersons,0
1942,Actress in a Supporting Role,,Susan Peters,Random Harvest,0
1942,Actress in a Supporting Role,,Dame May Whitty,Mrs. Miniver,0
1942,Actress in a Supporting Role,1,Teresa Wright,Mrs. Miniver,0
1943,Actor,,Humphrey Bogart,Casablanca,0
1943,Actor,,Gary Cooper,For Whom the Bell Tolls,0
1943,Actor,1,Paul Lukas,Watch on the Rhine,0
1943,Actor,,Walter Pidgeon,Madame Curie,0
1943,Actor,,Mickey Rooney,The Human Comedy,0
1943,Actor in a Supporting Role,,Charles Bickford,The Song of Bernadette,0
1943,Actor in a Supporting Role,1,Charles Coburn,The More the Merrier,0
1943,Actor in a Supporting Role,,J. Carrol Naish,Sahara,0
1943,Actor in a Supporting Role,,Claude Rains,Casablanca,0
1943,Actor in a Supporting Role,,Akim Tamiroff,For Whom the Bell Tolls,0
1943,Actress,,Jean Arthur,The More the Merrier,0
1943,Actress,,Ingrid Bergman,For Whom the Bell Tolls,0
1943,Actress,,Joan Fontaine,The Constant Nymph,0
1943,Actress,,Greer Garson,Madame Curie,0
1943,Actress,1,Jennifer Jones,The Song of Bernadette,0
1943,Actress in a Supporting Role,,Gladys Cooper,The Song of Bernadette,0
1943,Actress in a Supporting Role,,Paulette Goddard,So Proudly We Hail!,0
1943,Actress in a Supporting Role,1,Katina Paxinou,For Whom the Bell Tolls,0
1943,Actress in a Supporting Role,,Anne Revere,The Song of Bernadette,0
1943,Actress in a Supporting Role,,Lucile Watson,Watch on the Rhine,0
1944,Actor,,Charles Boyer,Gaslight,0
1944,Actor,1,Bing Crosby,Going My Way,0
1944,Actor,,Barry Fitzgerald,Going My Way,0
1944,Actor,,Cary Grant,None but the Lonely Heart,0
1944,Actor,,Alexander Knox,Wilson,0
1944,Actor in a Supporting Role,,Hume Cronyn,The Seventh Cross,0
1944,Actor in a Supporting Role,1,Barry Fitzgerald,Going My Way,0
1944,Actor in a Supporting Role,,Claude Rains,Mr. Skeffington,0
1944,Actor in a Supporting Role,,Clifton Webb,Laura,0
1944,Actor in a Supporting Role,,Monty Woolley,Since You Went Away,0
1944,Actress,1,Ingrid Bergman,Gaslight,0
1944,Actress,,Claudette Colbert,Since You Went Away,0
1944,Actress,,Bette Davis,Mr. Skeffington,0
1944,Actress,,Greer Garson,Mrs. Parkington,0
1944,Actress,,Barbara Stanwyck,Double Indemnity,0
1944,Actress in a Supporting Role,1,Ethel Barrymore,None but the Lonely Heart,0
1944,Actress in a Supporting Role,,Jennifer Jones,Since You Went Away,0
1944,Actress in a Supporting Role,,Angela Lansbury,Gaslight,0
1944,Actress in a Supporting Role,,Aline MacMahon,Dragon Seed,0
1944,Actress in a Supporting Role,,Agnes Moorehead,Mrs. Parkington,0
1945,Actor,,Bing Crosby,The Bells of St. Mary's,0
1945,Actor,,Gene Kelly,Anchors Aweigh,0
1945,Actor,1,Ray Milland,The Lost Weekend,0
1945,Actor,,Gregory Peck,The Keys of the Kingdom,0
1945,Actor,,Cornel Wilde,A Song to Remember,0
1945,Actor in a Supporting Role,,Michael Chekhov,Spellbound,0
1945,Actor in a Supporting Role,,John Dall,The Corn Is Green,0
1945,Actor in a Supporting Role,1,James Dunn,A Tree Grows in Brooklyn,0
1945,Actor in a Supporting Role,,Robert Mitchum,G. I. Joe,0
1945,Actor in a Supporting Role,,J. Carrol Naish,A Medal for Benny,0
1945,Actress,,Ingrid Bergman,The Bells of St. Mary's,0
1945,Actress,1,Joan Crawford,Mildred Pierce,0
1945,Actress,,Greer Garson,The Valley of Decision,0
1945,Actress,,Jennifer Jones,Love Letters,0
1945,Actress,,Gene Tierney,Leave Her to Heaven,0
1945,Actress in a Supporting Role,,Eve Arden,Mildred Pierce,0
1945,Actress in a Supporting Role,,Ann Blyth,Mildred Pierce,0
1945,Actress in a Supporting Role,,Angela Lansbury,The Picture of Dorian Gray,0
1945,Actress in a Supporting Role,,Joan Lorring,The Corn Is Green,0
1945,Actress in a Supporting Role,1,Anne Revere,National Velvet,0
1946,Actor,1,Fredric March,The Best Years of Our Lives,0
1946,Actor,,Laurence Olivier,Henry V,0
1946,Actor,,Larry Parks,The Jolson Story,0
1946,Actor,,Gregory Peck,The Yearling,0
1946,Actor,,James Stewart,It's a Wonderful Life,0
1946,Actor in a Supporting Role,,Charles Coburn,The Green Years,0
1946,Actor in a Supporting Role,,William Demarest,The Jolson Story,0
1946,Actor in a Supporting Role,,Claude Rains,Notorious,0
1946,Actor in a Supporting Role,1,Harold Russell,The Best Years of Our Lives,0
1946,Actor in a Supporting Role,,Clifton Webb,The Razor's Edge,0
1946,Actress,1,Olivia de Havilland,To Each His Own,0
1946,Actress,,Celia Johnson,Brief Encounter,0
1946,Actress,,Jennifer Jones,Duel in the Sun,0
1946,Actress,,Rosalind Russell,Sister Kenny,0
1946,Actress,,Jane Wyman,The Yearling,0
1946,Actress in a Supporting Role,,Ethel Barrymore,The Spiral Staircase,0
1946,Actress in a Supporting Role,1,Anne Baxter,The Razor's Edge,0
1946,Actress in a Supporting Role,,Lillian Gish,Duel in the Sun,0
1946,Actress in a Supporting Role,,Flora Robson,Saratoga Trunk,0
1946,Actress in a Supporting Role,,Gale Sondergaard,Anna and the King of Siam,0
1947,Actor,1,Ronald Colman,A Double Life,0
1947,Actor,,John Garfield,Body and Soul,0
1947,Actor,,Gregory Peck,Gentleman's Agreement,0
1947,Actor,,William Powell,Life with Father,0
1947,Actor,,Michael Redgrave,Mourning Becomes Electra,0
1947,Actor in a Supporting Role,,Charles Bickford,The Farmer's Daughter,0
1947,Actor in a Supporting Role,,Thomas Gomez,Ride the Pink Horse,0
1947,Actor in a Supporting Role,1,Edmund Gwenn,Miracle on 34th Street,0
1947,Actor in a Supporting Role,,Robert Ryan,Crossfire,0
1947,Actor in a Supporting Role,,Richard Widmark,Kiss of Death,0
1947,Actress,,Joan Crawford,Possessed,0
1947,Actress,,Susan Hayward,Smash-Up--The Story of a Woman,0
1947,Actress,,Dorothy McGuire,Gentleman's Agreement,0
1947,Actress,,Rosalind Russell,Mourning Becomes Electra,0
1947,Actress,1,Loretta Young,The Farmer's Daughter,0
1947,Actress in a Supporting Role,,Ethel Barrymore,The Paradine Case,0
1947,Actress in a Supporting Role,,Gloria Grahame,Crossfire,0
1947,Actress in a Supporting Role,1,Celeste Holm,Gentleman's Agreement,0
1947,Actress in a Supporting Role,,Marjorie Main,The Egg and I,0
1947,Actress in a Supporting Role,,Anne Revere,Gentleman's Agreement,0
1948,Actor,,Lew Ayres,Johnny Belinda,0
1948,Actor,,Montgomery Clift,The Search,0
1948,Actor,,Dan Dailey,When My Baby Smiles at Me,0
1948,Actor,1,Laurence Olivier,Hamlet,0
1948,Actor,,Clifton Webb,Sitting Pretty,0
1948,Actor in a Supporting Role,,Charles Bickford,Johnny Belinda,0
1948,Actor in a Supporting Role,,José Ferrer,Joan of Arc,1
1948,Actor in a Supporting Role,,Oscar Homolka,I Remember Mama,0
1948,Actor in a Supporting Role,1,Walter Huston,The Treasure of the Sierra Madre,0
1948,Actor in a Supporting Role,,Cecil Kellaway,The Luck of the Irish,0
1948,Actress,,Ingrid Bergman,Joan of Arc,0
1948,Actress,,Olivia de Havilland,The Snake Pit,0
1948,Actress,,Irene Dunne,I Remember Mama,0
1948,Actress,,Barbara Stanwyck,"Sorry, Wrong Number",0
1948,Actress,1,Jane Wyman,Johnny Belinda,0
1948,Actress in a Supporting Role,,Barbara Bel Geddes,I Remember Mama,0
1948,Actress in a Supporting Role,,Ellen Corby,I Remember Mama,0
1948,Actress in a Supporting Role,,Agnes Moorehead,Johnny Belinda,0
1948,Actress in a Supporting Role,,Jean Simmons,Hamlet,0
1948,Actress in a Supporting Role,1,Claire Trevor,Key Largo,0
1949,Actor,1,Broderick Crawford,All the King's Men,0
1949,Actor,,Kirk Douglas,Champion,0
1949,Actor,,Gregory Peck,Twelve O'Clock High,0
1949,Actor,,Richard Todd,The Hasty Heart,0
1949,Actor,,John Wayne,Sands of Iwo Jima,0
1949,Actor in a Supporting Role,,John Ireland,All the King's Men,0
1949,Actor in a Supporting Role,1,Dean Jagger,Twelve O'Clock High,0
1949,Actor in a Supporting Role,,Arthur Kennedy,Champion,0
1949,Actor in a Supporting Role,,Ralph Richardson,The Heiress,0
1949,Actor in a Supporting Role,,James Whitmore,Battleground,0
1949,Actress,,Jeanne Crain,Pinky,0
1949,Actress,1,Olivia de Havilland,The Heiress,0
1949,Actress,,Susan Hayward,My Foolish Heart,0
1949,Actress,,Deborah Kerr,"Edward, My Son",0
1949,Actress,,Loretta Young,Come to the Stable,0
1949,Actress in a Supporting Role,,Ethel Barrymore,Pinky,0
1949,Actress in a Supporting Role,,Celeste Holm,Come to the Stable,0
1949,Actress in a Supporting Role,,Elsa Lanchester,Come to the Stable,0
1949,Actress in a Supporting Role,1,Mercedes McCambridge,All the King's Men,0
1949,Actress in a Supporting Role,,Ethel Waters,Pinky,1
1950,Actor,,Louis Calhern,The Magnificent Yankee,0
1950,Actor,1,José Ferrer,Cyrano de Bergerac,1
1950,Actor,,William Holden,Sunset Blvd.,0
1950,Actor,,James Stewart,Harvey,0
1950,Actor,,Spencer Tracy,Father of the Bride,0
1950,Actor in a Supporting Role,,Jeff Chandler,Broken Arrow,0
1950,Actor in a Supporting Role,,Edmund Gwenn,Mister 880,0
1950,Actor in a Supporting Role,,Sam Jaffe,The Asphalt Jungle,0
1950,Actor in a Supporting Role,1,George Sanders,All about Eve,0
1950,Actor in a Supporting Role,,Erich von Stroheim,Sunset Blvd.,0
1950,Actress,,Anne Baxter,All about Eve,0
1950,Actress,,Bette Davis,All about Eve,0
1950,Actress,1,Judy Holliday,Born Yesterday,0
1950,Actress,,Eleanor Parker,Caged,0
1950,Actress,,Gloria Swanson,Sunset Blvd.,0
1950,Actress in a Supporting Role,,Hope Emerson,Caged,0
1950,Actress in a Supporting Role,,Celeste Holm,All about Eve,0
1950,Actress in a Supporting Role,1,Josephine Hull,Harvey,0
1950,Actress in a Supporting Role,,Nancy Olson,Sunset Blvd.,0
1950,Actress in a Supporting Role,,Thelma Ritter,All about Eve,0
1951,Actor,1,Humphrey Bogart,The African Queen,0
1951,Actor,,Marlon Brando,A Streetcar Named Desire,0
1951,Actor,,Montgomery Clift,A Place in the Sun,0
1951,Actor,,Arthur Kennedy,Bright Victory,0
1951,Actor,,Fredric March,Death of a Salesman,0
1951,Actor in a Supporting Role,,Leo Genn,Quo Vadis,0
1951,Actor in a Supporting Role,,Kevin McCarthy,Death of a Salesman,0
1951,Actor in a Supporting Role,1,Karl Malden,A Streetcar Named Desire,0
1951,Actor in a Supporting Role,,Peter Ustinov,Quo Vadis,0
1951,Actor in a Supporting Role,,Gig Young,Come Fill the Cup,0
1951,Actress,,Katharine Hepburn,The African Queen,0
1951,Actress,1,Vivien Leigh,A Streetcar Named Desire,0
1951,Actress,,Eleanor Parker,Detective Story,0
1951,Actress,,Shelley Winters,A Place in the Sun,0
1951,Actress,,Jane Wyman,The Blue Veil,0
1951,Actress in a Supporting Role,,Joan Blondell,The Blue Veil,0
1951,Actress in a Supporting Role,,Mildred Dunnock,Death of a Salesman,0
1951,Actress in a Supporting Role,,Lee Grant,Detective Story,0
1951,Actress in a Supporting Role,1,Kim Hunter,A Streetcar Named Desire,0
1951,Actress in a Supporting Role,,Thelma Ritter,The Mating Season,0
1952,Actor,,Marlon Brando,Viva Zapata!,0
1952,Actor,1,Gary Cooper,High Noon,0
1952,Actor,,Kirk Douglas,The Bad and the Beautiful,0
1952,Actor,,José Ferrer,Moulin Rouge,1
1952,Actor,,Alec Guinness,The Lavender Hill Mob,0
1952,Actor in a Supporting Role,,Richard Burton,My Cousin Rachel,0
1952,Actor in a Supporting Role,,Arthur Hunnicutt,The Big Sky,0
1952,Actor in a Supporting Role,,Victor McLaglen,The Quiet Man,0
1952,Actor in a Supporting Role,,Jack Palance,Sudden Fear,0
1952,Actor in a Supporting Role,1,Anthony Quinn,Viva Zapata!,0
1952,Actress,1,Shirley Booth,"Come Back, Little Sheba",0
1952,Actress,,Joan Crawford,Sudden Fear,0
1952,Actress,,Bette Davis,The Star,0
1952,Actress,,Julie Harris,The Member of the Wedding,0
1952,Actress,,Susan Hayward,With a Song in My Heart,0
1952,Actress in a Supporting Role,1,Gloria Grahame,The Bad and the Beautiful,0
1952,Actress in a Supporting Role,,Jean Hagen,Singin' in the Rain,0
1952,Actress in a Supporting Role,,Colette Marchand,Moulin Rouge,0
